0	S	9a-(	0	1	1	0	0
1	E	9a-(	0	1	3	1	0
2	@	@	1	1	-1	0	1
3	E	9a-(	0	1	4	0	0
4	T	9a-(	0	1	14	1	0
5	A	)+@	0	1	6	0	0
6	A	+	0	0	11	0	0
7	A	)	0	0	10	0	0
8	A	@	0	1	9	0	0
9	@	@	0	1	-1	0	0
10	)	)	0	1	-1	0	0
11	+	+	1	1	12	0	0
12	T	9a-(	0	1	14	1	0
13	A	)+@	0	1	6	0	0
14	T	9a-(	0	1	15	0	0
15	F	9a-(	0	1	27	1	0
16	B	*+)@	0	1	17	0	0
17	B	*	0	0	24	0	0
18	B	+	0	0	23	0	0
19	B	)	0	0	22	0	0
20	B	@	0	1	21	0	0
21	@	@	0	1	-1	0	0
22	)	)	0	1	-1	0	0
23	+	+	0	1	-1	0	0
24	*	*	1	1	25	0	0
25	F	9a-(	0	1	27	1	0
26	B	*+)@	0	1	17	0	0
27	F	9	0	0	31	0	0
28	F	a	0	0	32	0	0
29	F	-	0	0	33	0	0
30	F	(	0	1	35	0	0
31	9	9	1	1	-1	0	0
32	a	a	1	1	-1	0	0
33	-	-	1	1	34	0	0
34	F	9a-(	0	1	27	0	0
35	(	(	1	1	36	0	0
36	E	9a-(	0	1	3	1	0
37	)	)	1	1	-1	0	0
